iter	Passed	Remaining
0	284	78011
1	444	60732
2	609	55251
3	773	52416
4	941	50852
5	1105	49583
6	1268	48546
7	1438	48013
8	1598	47240
9	1767	46826
10	1933	46395
11	2098	45998
12	2262	45602
13	2427	45249
14	2603	45127
15	2772	44875
16	2944	44690
17	3124	44604
18	3291	44342
19	3467	44215
20	3641	44046
21	3814	43867
22	3985	43669
23	4158	43488
24	4329	43290
25	4502	43117
26	4674	42937
27	4849	42776
28	5022	42607
29	5195	42433
30	5367	42249
31	5548	42130
32	5722	41962
33	5894	41782
34	6071	41630
35	6243	41451
36	6421	41304
37	6593	41122
38	6768	40959
39	6949	40827
40	7127	40676
41	7292	40457
42	7458	40242
43	7625	40033
44	7789	39814
45	7957	39612
46	8122	39404
47	8289	39204
48	8458	39010
49	8617	38779
50	8781	38568
51	8946	38366
52	9107	38147
53	9269	37937
54	9434	37737
55	9601	37547
56	9763	37342
57	9926	37136
58	10087	36931
59	10245	36714
60	10410	36521
61	10572	36320
62	10735	36125
63	10900	35937
64	11066	35754
65	11229	35560
66	11391	35365
67	11564	35203
68	11727	35012
69	11892	34828
70	12058	34647
71	12220	34455
72	12379	34256
73	12539	34060
74	12706	33884
75	12868	33694
76	13035	33518
77	13199	33337
78	13362	33151
79	13525	32968
80	13690	32789
81	13853	32606
82	14019	32429
83	14180	32243
84	14340	32055
85	14507	31883
86	14670	31702
87	14837	31529
88	15004	31356
89	15165	31173
90	15332	31001
91	15496	30825
92	15667	30661
93	15830	30481
94	16003	30321
95	16175	30159
96	16344	29992
97	16524	29846
98	16696	29683
99	16859	29504
100	17030	29339
101	17189	29154
102	17353	28978
103	17525	28815
104	17689	28640
105	17852	28462
106	18019	28292
107	18181	28114
108	18344	27937
109	18521	27782
110	18692	27617
111	18868	27460
112	19038	27294
113	19213	27134
114	19386	26972
115	19555	26804
116	19725	26638
117	19895	26471
118	20078	26321
119	20248	26154
120	20422	25992
121	20593	25826
122	20767	25663
123	20942	25502
124	21114	25337
125	21294	25182
126	21484	25036
127	21659	24874
128	21855	24735
129	22031	24573
130	22200	24404
131	22369	24233
132	22535	24060
133	22703	23889
134	22872	23719
135	23045	23553
136	23213	23382
137	23385	23215
138	23554	23046
139	23720	22873
140	23903	22716
141	24080	22554
142	24248	22383
143	24416	22211
144	24583	22040
145	24748	21866
146	24913	21693
147	25077	21519
148	25242	21345
149	25411	21176
150	25574	21001
151	25738	20827
152	25904	20655
153	26068	20482
154	26227	20304
155	26396	20135
156	26563	19964
157	26725	19790
158	26894	19621
159	27055	19445
160	27218	19272
161	27384	19101
162	27546	18927
163	27708	18753
164	27877	18585
165	28042	18413
166	28203	18239
167	28369	18068
168	28528	17893
169	28692	17721
170	28881	17565
171	29041	17390
172	29203	17218
173	29216	16959
174	29413	16807
175	29580	16639
176	29744	16468
177	29912	16300
178	30072	16128
179	30236	15958
180	30401	15788
181	30570	15621
182	30730	15449
183	30896	15280
184	31058	15109
185	31219	14938
186	31381	14767
187	31545	14598
188	31707	14427
189	31877	14261
190	32038	14090
191	32197	13918
192	32362	13750
193	32525	13580
194	32688	13410
195	32853	13242
196	33018	13073
197	33178	12902
198	33341	12733
199	33503	12563
200	33670	12396
201	33839	12228
202	34001	12059
203	34161	11889
204	34336	11724
205	34514	11560
206	34685	11394
207	34861	11229
208	35031	11062
209	35200	10895
210	35372	10729
211	35546	10563
212	35717	10396
213	35888	10229
214	36059	10063
215	36232	9896
216	36414	9732
217	36584	9565
218	36751	9397
219	36921	9230
220	37086	9061
221	37254	8894
222	37432	8728
223	37620	8565
224	37793	8398
225	37969	8232
226	38136	8064
227	38306	7896
228	38478	7729
229	38653	7562
230	38823	7394
231	39004	7229
232	39169	7060
233	39348	6894
234	39528	6728
235	39708	6562
236	39882	6394
237	40048	6226
238	40206	6056
239	40369	5887
240	40529	5717
241	40695	5549
242	40860	5380
243	41031	5213
244	41190	5043
245	41352	4874
246	41521	4706
247	41685	4538
248	41850	4369
249	42028	4202
250	42186	4033
251	42350	3865
252	42512	3696
253	42676	3528
254	42838	3359
255	43011	3192
256	43168	3023
257	43330	2855
258	43493	2686
259	43658	2518
260	43822	2350
261	43985	2182
262	44149	2014
263	44313	1846
264	44478	1678
265	44641	1510
266	44808	1342
267	44972	1174
268	45139	1006
269	45298	838
270	45460	671
271	45638	503
272	45803	335
273	45971	167
274	46133	0
